sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;true_sequence;obs_sequence;accuracy;score;cumulative_trial;trial;trial_type;keystroke;key_from;key_to;RT
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68935458290772156;17;10;done;1;1 3 4;1;370.208
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68935458290772156;17;10;done;2;1;1 2;355.222
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68935458290772156;17;10;done;3;1 2;1 3;379.577
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.68935458290772156;17;10;done;4;1 3;2 3;345.625
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76871549213711277;18;11;done;0;0;1 3 4;425.154
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76871549213711277;18;11;done;1;1 3 4;1;325.869
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76871549213711277;18;11;done;2;1;1 2;307.710
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76871549213711277;18;11;done;3;1 2;1 3;325.708
1;2018-03-06;11:11:04.964000;type1;training;train;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1.0;0.76871549213711277;18;11;done;4;1 3;2 3;341.584
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.36542336551924287;1;2;done;0;0;3 4;1232.334
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.36542336551924287;1;2;done;1;3 4;1 2 3;658.817
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.36542336551924287;1;2;done;2;1 2 3;1 3 4;787.762
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.36542336551924287;1;2;done;3;1 3 4;4;660.799
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.36542336551924287;1;2;done;4;4;1 4;629.174
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.35169357341994323;2;3;done;0;0;3 4;867.933
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.35169357341994323;2;3;done;1;3 4;1 2 3;650.690
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.35169357341994323;2;3;done;2;1 2 3;1 3 4;955.700
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.35169357341994323;2;3;done;3;1 3 4;4;669.165
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.35169357341994323;2;3;done;4;4;1 4;567.829
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.41278407117652471;3;4;done;0;0;3 4;549.364
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.41278407117652471;3;4;done;1;3 4;1 2 3;523.405
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.41278407117652471;3;4;done;2;1 2 3;1 3 4;637.720
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.41278407117652471;3;4;done;3;1 3 4;4;583.324
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.41278407117652471;3;4;done;4;4;1 4;678.126
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;4 - 1 2 3 - 1 3 4 - 4 - 1 4;0.80000000000000004;0;4;4;done;0;0;4;775.445
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;4 - 1 2 3 - 1 3 4 - 4 - 1 4;0.80000000000000004;0;4;4;done;1;4;1 2 3;705.760
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;4 - 1 2 3 - 1 3 4 - 4 - 1 4;0.80000000000000004;0;4;4;done;2;1 2 3;1 3 4;1109.364
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;4 - 1 2 3 - 1 3 4 - 4 - 1 4;0.80000000000000004;0;4;4;done;3;1 3 4;4;400.849
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;4 - 1 2 3 - 1 3 4 - 4 - 1 4;0.80000000000000004;0;4;4;done;4;4;1 4;445.690
1;2018-03-06;11:11:04.964000;type1;training;train;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1.0;0.45003419996503691;5;5;done;0;0;3 4;434.349
