sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;trial_type;true_sequence;obs_sequence;accuracy;RT;MT;score
2;2018-03-04;17:36:25.953000;type1;training;train;19;10;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 1 2 - 1 3 - 2 3;0.4;-199.876;1.896;527.306
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;20;10;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;4 - 1 3 - 1 1 2 - 1 3 - 2 3;0.4;-199.968;1.382;723.832
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;21;11;done;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1 3 4 - 1 - 1 2 - 1 3 - 2 3;1;542.076;2028.935;0.493
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;1;1;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;4 - 3 - 1 - 3 - 2;0;3208.794;491.962;2.033
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;2;1;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1 2 3 3 4 - 1 3 4 - 4 - 4 - 1;0.2;-199.541;480.439;2.081
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;3;2;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;1;1542.901;2447.016;0.409
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;4;2;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 4 - 1 2 3 - 4 - 4 - 1;0.6;1098.779;2665.821;0.375
;;;;;;;;;;;;;;
2;2018-03-04;17:36:25.953000;type1;training;train;5;2;done;3 4 - 1 2 3 - 1 3 4 - 4 - 1 4;3 - 4;0;1996.99;9.893;101.082
;;;;;;;;;;;;;;
