sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;10;3;1;3 4;1 2 3;899.898
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;10;3;2;1 2 3;3 4;703.140
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;10;3;3;3 4;2 2;370.460
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;10;3;4;2 2;2;323.468
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;11;3;0;0;2 3 4;802.586
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;11;3;1;2 3 4;1 3;818.493
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;11;3;2;1 3;1;220.267
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;11;3;3;1;3 4;1518.263
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;11;3;4;3 4;2;508.494
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;12;3;0;0;3 4;745.545
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;12;3;1;3 4;1 3;754.774
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;12;3;2;1 3;3 4;689.585
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;12;3;3;3 4;2;497.937
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;12;3;4;2;2;230.245
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;13;4;0;0;3 4;821.052
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;13;4;1;3 4;1 3;661.866
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;13;4;2;1 3;3 4;619.709
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;13;4;3;3 4;2;439.339
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;13;4;4;2;2;243.012
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;14;5;0;0;3 4;685.948
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;14;5;1;3 4;1 3;733.749
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;14;5;2;1 3;3 4;615.094
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;14;5;3;3 4;2;466.014
1;2018-03-02;15:58:23.486000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;14;5;4;2;2;213.956
