sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;sequence;cumulative_trial;trial;keystroke;key_from;key_to;RT
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;3;3;3 4;2;304.474
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;6;3;4;2;2;247.422
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;4;0;0;3 4;863.669
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;4;1;3 4;3;404.171
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;4;2;3;3 4;895.658
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;4;3;3 4;2;412.309
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;7;4;4;2;2;188.836
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;4;0;0;3 4;670.631
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;4;1;3 4;1 3;454.448
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;4;2;1 3;3 4;417.949
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;4;3;3 4;2;340.206
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;8;4;4;2;2;310.777
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;5;0;0;3 4;509.477
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;5;1;3 4;1 3;542.042
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;5;2;1 3;3 4;1344.885
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;5;3;3 4;2;355.694
1;2018-02-28;09:33:54.772000;type1;training;train;3 4 - 1 3 - 3 4 - 2 - 2;9;5;4;2;2;222.687
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;0;0;1 2;1283.967
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;1;1 2;2;520.060
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;2;2;2;542.220
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;3;2;4;1025.982
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;1;1;4;4;2 3;528.816
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;2;0;0;1 2;969.243
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;2;1;1 2;2;387.965
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;2;2;2;2;307.838
2;2018-02-28;09:37:52.737000;type1;training;train;1 2 - 2 - 2 - 4 - 2 3;2;2;3;2;4;255.880
