sess_num;sess_date;sess_time;seq_type;sess_type;seq_train;cumulative_trial;trial;true_sequence;obs_sequence;accuracy;RT;MT;score
4;2018-03-01;10:54:51.369000;type1;training;train;3;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;418.016;801.159;1.248
4;2018-03-01;10:54:51.369000;type1;training;train;4;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;447.753;763.101;1.310
4;2018-03-01;10:54:51.369000;type1;training;train;5;6;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;423.768;767.347;1.303
5;2018-03-01;19:27:18.746000;type1;training;train;1;2;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;870.975;2384.407;0.419
5;2018-03-01;19:27:18.746000;type1;training;train;2;3;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;719.935;1274.209;0.785
5;2018-03-01;19:27:18.746000;type1;training;train;3;4;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;631.661;842.621;1.187
5;2018-03-01;19:27:18.746000;type1;training;train;4;4;1 2 - 2 - 2 - 4 - 2 3;1 2 3 - 2 - 2 - 4 - 2 3;0.80000000000000004;669.954;784.277;1.275
5;2018-03-01;19:27:18.746000;type1;training;train;5;5;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;496.795;813.524;1.229
5;2018-03-01;19:27:18.746000;type1;training;train;6;6;1 2 - 2 - 2 - 4 - 2 3;1 2 - 2 - 2 - 4 - 2 3;1.0;971.792;759.650;1.316
5;2018-03-01;19:27:18.746000;type1;training;train;1;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;1616.793;1316.191;0.760
5;2018-03-01;19:27:18.746000;type1;training;train;2;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 2 - 2;0.59999999999999998;776.147;1647.451;0.607
5;2018-03-01;19:27:18.746000;type1;training;train;3;2;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1;0.80000000000000004;1255.390;1023.121;0.977
5;2018-03-01;19:27:18.746000;type1;training;train;4;3;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;802.131;892.885;1.120
5;2018-03-01;19:27:18.746000;type1;training;train;5;4;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;767.610;914.203;1.094
5;2018-03-01;19:27:18.746000;type1;training;train;6;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;584.016;796.224;1.256
5;2018-03-01;19:27:18.746000;type1;training;train;7;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 1 2 - 1 - 1 4;0.80000000000000004;1263.424;1542.060;0.648
5;2018-03-01;19:27:18.746000;type1;training;train;8;5;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 4;0.80000000000000004;612.933;835.379;1.197
5;2018-03-01;19:27:18.746000;type1;training;train;9;6;2 - 1 4 - 2 - 1 - 1 4;2 - 1 4 - 2 - 1 - 1 4;1.0;549.291;987.589;1.013
5;2018-03-01;19:27:18.746000;type1;training;train;1;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1262.402;993.230;1.007
5;2018-03-01;19:27:18.746000;type1;training;train;2;2;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 3 - 1 2 4;0.59999999999999998;551.802;805.805;1.241
5;2018-03-01;19:27:18.746000;type1;training;train;3;3;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;629.591;827.497;1.208
5;2018-03-01;19:27:18.746000;type1;training;train;4;4;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;1031.452;747.914;1.337
5;2018-03-01;19:27:18.746000;type1;training;train;5;5;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;695.964;788.938;1.268
5;2018-03-01;19:27:18.746000;type1;training;train;6;6;2 - 4 - 4 - 2 3 - 1 4;2 - 4 - 4 - 2 3 - 1 4;1.0;503.244;743.640;1.345
5;2018-03-01;19:27:18.746000;type1;training;train;1;1;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 4 - 3 - 2;0.59999999999999998;2406.158;1515.025;0.660
5;2018-03-01;19:27:18.746000;type1;training;train;2;2;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;688.678;1489.385;0.671
5;2018-03-01;19:27:18.746000;type1;training;train;3;3;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;501.194;903.929;1.106
5;2018-03-01;19:27:18.746000;type1;training;train;4;4;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;521.319;1005.137;0.995
5;2018-03-01;19:27:18.746000;type1;training;train;5;5;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;559.364;809.189;1.236
5;2018-03-01;19:27:18.746000;type1;training;train;6;6;3 4 - 1 3 - 3 4 - 2 - 2;3 4 - 1 3 - 3 4 - 2 - 2;1.0;671.875;955.917;1.046
